Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0094-OIFMO,Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,0,120,127.49,1367.79,0,Dissatisfaction,Product dissatisfaction
0107-WESLM,Male,32,No,0,West Point,95255,38.41935,-120.469545,0,1,Offer E,Yes,31.77,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0,0,31.77,51.62,0,Attitude,Attitude of support person
0107-YHINA,Male,59,No,0,Los Angeles,90062,34.003553,-118.308933,0,1,None,Yes,40.71,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0,0,40.71,140.46,0,Competitor,Competitor had better devices
0112-QWPNC,Male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0,0,1937.95,5997.3,0,Competitor,Competitor offered higher download speeds
0115-TFERT,Male,24,Yes,0,Fresno,93650,36.841655,-119.797113,1,21,None,Yes,36.26,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0,120,761.46,3198.56,0,Attitude,Attitude of service provider
0117-LFRMW,Male,52,Yes,1,Angwin,94508,38.542448,-122.419923,1,37,None,No,,,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0,0,0,1448.8,0,Competitor,Competitor offered more data
0122-OAHPZ,Female,29,No,0,San Diego,92122,32.85723,-117.209774,0,7,None,Yes,28.62,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.56,0,Competitor,Competitor made better offer
0125-LZQXK,Male,42,No,0,Big Oak Flat,95305,37.818589,-120.256995,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0,0,688.8,2242.75,0,Attitude,Attitude of service provider
0133-BMFZO,Female,40,No,0,Alhambra,91803,34.074736,-118.145959,0,2,None,Yes,36.81,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0,0,73.62,255.27,0,Competitor,Competitor offered higher download speeds
0135-NMXAP,Female,57,No,0,Lodi,95240,38.123544,-121.159078,0,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0,0,172.56,1224.96,0,Attitude,Attitude of support person
0137-OCGAB,Female,25,No,0,Fairfield,94533,38.287136,-122.02711,0,1,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0,0,1.23,81.43,0,Price,Lack of affordable download/upload speed
0137-UDEUO,Female,24,No,0,Stockton,95204,37.974498,-121.319568,0,3,Offer E,Yes,25.75,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,63.75,0,0,77.25,141,0,Price,Long distance charges
0148-DCDOS,Male,41,No,0,Planada,95365,37.329725,-120.306399,0,25,None,Yes,34.88,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,0,0,872,3234.1,0,Competitor,Competitor had better devices
0151-ONTOV,Female,43,No,0,Moorpark,93021,34.312945,-118.858169,0,1,Offer E,Yes,39.81,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,0,0,39.81,110.71,0,Competitor,Competitor had better devices
0156-FVPTA,Male,48,Yes,0,Solvang,93463,34.624399,-120.137875,1,22,Offer D,Yes,27.24,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,0,0,599.28,1751.98,0,Attitude,Attitude of service provider
0193-ESZXP,Female,73,Yes,0,Oceano,93445,35.059695,-120.604741,1,58,None,Yes,16.94,No,Yes,Fiber Optic,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,6205.5,0,0,982.52,7188.02,0,Attitude,Attitude of support person
0195-IESCP,Male,26,Yes,0,Armona,93202,36.315979,-119.710852,1,10,Offer D,Yes,2.02,Yes,Yes,Fiber Optic,82,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,0,100,20.2,975.5,0,Competitor,Competitor offered more data
0196-VULGZ,Female,78,Yes,0,Irvine,92620,33.716136,-117.752574,1,6,None,Yes,28.71,Yes,Yes,Fiber Optic,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,474.9,0,0,172.26,647.16,0,Other,Deceased
0201-OAMXR,Female,30,No,0,Mckinleyville,95519,40.965011,-124.015255,0,70,Offer A,Yes,10.21,Yes,Yes,Fiber Optic,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,8127.6,0,0,714.7,8842.3,0,Dissatisfaction,Network reliability
0203-HHYIJ,Male,62,No,0,Atherton,94027,37.454924,-122.203168,0,25,Offer C,Yes,5.57,Yes,No,,,,,,,,,,,One Year,No,Bank Withdrawal,25.3,676.35,0,0,139.25,815.6,0,Price,Long distance charges
0207-MDKNV,Female,54,No,0,Daly City,94014,37.691561,-122.445202,0,15,None,Yes,22.39,No,Yes,Fiber Optic,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1582.75,0,0,335.85,1918.6,0,Competitor,Competitor made better offer
0219-YTZUE,Male,26,Yes,0,San Diego,92122,32.85723,-117.209774,5,4,Offer E,Yes,28.77,Yes,Yes,Fiber Optic,19,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,371.9,0,0,115.08,486.98,0,Competitor,Competitor made better offer
0220-EBGCE,Male,58,No,0,Escondido,92027,33.141265,-116.967221,0,2,Offer E,Yes,14.14,No,Yes,Fiber Optic,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.85,167.3,0,0,28.28,195.58,0,Competitor,Competitor made better offer
0224-HJAPT,Male,25,No,0,San Diego,92117,32.825086,-117.199424,0,5,None,Yes,22.01,Yes,Yes,Cable,85,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,47.15,223.15,0,0,110.05,333.2,0,Competitor,Competitor made better offer
0231-LXVAP,Male,23,No,0,Temecula,92592,33.507255,-117.029473,0,1,None,Yes,44.56,No,Yes,Fiber Optic,27,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.9,75.9,0,0,44.56,120.46,0,Competitor,Competitor made better offer
0235-KGSLC,Female,45,No,0,Buellton,93427,34.631362,-120.238218,0,1,Offer E,Yes,33.34,No,Yes,Fiber Optic,4,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.55,85.55,0,0,33.34,118.89,0,Other,Moved
0236-HFWSV,Male,49,No,0,Palmdale,93552,34.557711,-118.029441,0,15,None,Yes,48.93,Yes,Yes,Fiber Optic,15,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.35,1444.65,0,0,733.95,2178.6,0,Competitor,Competitor had better devices
0256-LTHVJ,Female,58,Yes,0,Ludlow,92338,34.702766,-116.093376,1,28,Offer C,Yes,16.85,No,Yes,Fiber Optic,13,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.05,2227.1,0,0,471.8,2698.9,0,Competitor,Competitor had better devices
0257-ZESQC,Female,80,Yes,0,Perris,92571,33.828289,-117.201666,2,27,None,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0,0,189.54,2118.89,0,Attitude,Attitude of support person
0259-GBZSH,Male,22,No,0,San Diego,92122,32.85723,-117.209774,0,2,Offer E,Yes,40.43,Yes,Yes,Cable,27,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,181.5,0,0,80.86,262.36,0,Competitor,Competitor made better offer
0260-ZDLGK,Female,50,No,2,San Dimas,91773,34.102119,-117.815532,0,9,None,Yes,35.49,No,Yes,Cable,11,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,72.9,651.4,0,0,319.41,970.81,0,Competitor,Competitor made better offer
0265-EDXBD,Male,76,Yes,0,San Diego,92122,32.85723,-117.209774,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0,0,1514.88,3818.23,0,Attitude,Attitude of support person
0268-QKIWO,Female,41,No,0,Pilot Hill,95664,38.803731,-121.043799,0,3,Offer E,Yes,24.63,No,No,,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,19.75,58.85,0,0,73.89,132.74,0,Attitude,Attitude of support person
0278-YXOOG,Male,30,No,0,Inglewood,90301,33.956445,-118.358634,0,5,Offer E,Yes,34.26,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,21.05,113.85,0,0,171.3,285.15,0,Attitude,Attitude of support person
0280-XJGEX,Male,38,No,1,Los Angeles,90015,34.039224,-118.266293,0,49,None,Yes,44.33,Yes,Yes,Fiber Optic,11,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.7,5036.3,0,0,2172.17,7208.47,0,Competitor,Competitor had better devices
0295-PPHDO,Male,56,No,0,La Puente,91744,34.031441,-117.936436,0,1,None,Yes,5.59,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,95.45,0,0,5.59,101.04,0,Competitor,Competitor had better devices
0302-JOIVN,Female,47,Yes,0,San Diego,92109,32.787836,-117.232376,1,8,None,Yes,16.88,No,Yes,Fiber Optic,6,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,101.15,842.9,0,0,135.04,977.94,0,Competitor,Competitor made better offer
0306-JAELE,Male,61,No,0,Fallbrook,92028,33.362575,-117.299644,0,5,None,Yes,31.09,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.1,453.4,0,0,155.45,608.85,0,Competitor,Competitor made better offer
0310-MVLET,Female,63,Yes,0,Snelling,95369,37.521708,-120.426843,1,61,None,Yes,49.33,Yes,Yes,Fiber Optic,7,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.15,6010.05,0,0,3009.13,9019.18,0,Dissatisfaction,Service dissatisfaction
0311-UNPFF,Female,58,No,0,Long Beach,90807,33.830099,-118.182239,0,26,None,Yes,38.09,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.8,2274.35,0,50,990.34,3314.69,0,Dissatisfaction,Service dissatisfaction
0318-QUUOB,Male,25,Yes,0,Santa Rosa,95403,38.488431,-122.752839,1,1,None,Yes,43.67,No,Yes,Fiber Optic,73,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.55,80.55,0,0,43.67,124.22,0,Competitor,Competitor had better devices
0320-JDNQG,Male,28,Yes,0,Oxnard,93035,34.18454,-119.224666,1,23,None,Yes,37.95,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.85,2331.3,0,0,872.85,3204.15,0,Other,Don't know
0322-CHQRU,Male,63,No,0,Palmdale,93591,34.598221,-117.79593,0,2,None,Yes,25.49,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.35,89.5,0,0,50.98,140.48,0,Competitor,Competitor had better devices
0322-YINQP,Male,37,No,0,Covina,91723,34.084747,-117.886844,0,1,None,Yes,11.35,No,Yes,DSL,9,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,48.55,48.55,0,0,11.35,59.9,0,Attitude,Attitude of support person
0324-BRPCJ,Female,74,Yes,0,Palmdale,93591,34.598221,-117.79593,1,68,None,Yes,21.33,Yes,Yes,Cable,24,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.2,6851.65,0,0,1450.44,8302.09,0,Competitor,Competitor offered more data
0325-XBFAC,Male,44,No,0,Hoopa,95546,41.163637,-123.704841,0,8,None,Yes,19.49,No,Yes,Fiber Optic,10,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.7,740.3,0,80,155.92,976.22,0,Competitor,Competitor offered more data
0328-GRPMV,Female,43,No,0,Burnt Ranch,95527,40.854512,-123.450097,0,1,None,Yes,17.37,No,Yes,Fiber Optic,25,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.1,70.1,0,0,17.37,87.47,0,Competitor,Competitor had better devices
0329-GTIAJ,Female,40,No,0,Garden Grove,92844,33.766476,-117.969795,0,3,None,Yes,30.18,No,Yes,Fiber Optic,7,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.9,315.3,0,0,90.54,405.84,0,Price,Price too high
0330-IVZHA,Female,55,Yes,0,Anderson,96007,40.448632,-122.306657,1,5,Offer E,Yes,17.08,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.95,330.15,0,0,85.4,415.55,0,Attitude,Attitude of service provider
0334-GDDSO,Male,77,No,0,San Diego,92122,32.85723,-117.209774,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0,0,27.66,261.36,0,Competitor,Competitor made better offer
0337-CNPZE,Female,63,No,0,Los Angeles,90033,34.050198,-118.210946,0,41,None,Yes,10.43,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,106.3,4443.45,0,130,427.63,5001.08,0,Price,Price too high
0345-HKJVM,Female,43,No,0,San Diego,92109,32.787836,-117.232376,0,6,None,Yes,2.6,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.3,577.6,0,0,15.6,593.2,0,Other,Don't know
0348-SDKOL,Female,33,Yes,0,San Diego,92117,32.825086,-117.199424,1,58,None,Yes,3.51,Yes,Yes,Fiber Optic,28,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,102.1,5885.4,0,100,203.58,6188.98,0,Competitor,Competitor made better offer
0354-WYROK,Female,70,Yes,0,San Francisco,94130,37.820894,-122.369725,1,31,Offer C,Yes,47.95,No,Yes,Fiber Optic,21,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,2911.3,0,0,1486.45,4397.75,0,Other,Don't know
0362-ZBZWJ,Male,46,No,0,Thornton,95686,38.157794,-121.520223,0,36,None,Yes,24.66,Yes,Yes,Fiber Optic,22,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.9,3067.2,0,0,887.76,3954.96,0,Attitude,Attitude of service provider
0363-QJVFX,Male,22,No,0,Lake Hughes,93532,34.659579,-118.584212,0,32,Offer C,Yes,27.69,Yes,Yes,Fiber Optic,73,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,108.15,3432.9,0,0,886.08,4318.98,0,Attitude,Attitude of service provider
0375-HVGXO,Female,31,No,0,Los Angeles,90045,33.954017,-118.402447,0,1,Offer E,No,,,Yes,DSL,8,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,34.7,0,0,0,34.7,0,Other,Don't know
0376-YMCJC,Male,21,No,0,Novato,94949,38.067204,-122.524004,0,23,None,Yes,38.69,Yes,Yes,Cable,69,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.6,1943.2,4.73,0,889.87,2828.34,0,Competitor,Competitor offered higher download speeds
0378-NHQXU,Female,31,Yes,0,South San Francisco,94080,37.654436,-122.426468,7,17,None,Yes,17.91,Yes,Yes,Fiber Optic,9,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,88.25,1460.65,0,0,304.47,1765.12,0,Other,Deceased
0378-TOVMS,Female,20,No,0,Vernalis,95385,37.609095,-121.263381,0,3,None,Yes,10.6,No,Yes,Fiber Optic,73,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.8,272.2,0,0,31.8,304,0,Competitor,Competitor had better devices
0378-XSZPU,Male,31,Yes,0,San Jose,95117,37.311088,-121.961786,1,58,Offer B,Yes,17.22,No,Yes,Cable,21,Yes,Yes,Yes,No,No,No,No,Yes,One Year,No,Credit Card,60.3,3563.8,0,0,998.76,4562.56,0,Dissatisfaction,Network reliability
0388-EOPEX,Female,28,Yes,0,Riverside,92503,33.890046,-117.455583,1,2,None,Yes,9.79,No,Yes,Fiber Optic,41,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,139.4,0,0,19.58,158.98,0,Attitude,Attitude of support person
0390-DCFDQ,Female,76,Yes,2,Los Alamitos,90720,33.79499,-118.065591,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0,0,15.28,85.73,0,Other,Don't know
0397-GZBBC,Male,70,Yes,0,South Dos Palos,93665,36.959731,-120.653519,0,59,None,Yes,10.78,Yes,Yes,Fiber Optic,15,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,5574.75,8.13,0,636.02,6202.64,0,Price,Price too high
0402-CQAJN,Female,22,No,0,El Monte,91732,34.074492,-118.01462,0,37,None,Yes,24.04,Yes,Yes,Fiber Optic,59,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.9,3545.35,0,0,889.48,4434.83,0,Dissatisfaction,Lack of self-service on Website
0404-SWRVG,Male,21,No,2,La Habra,90631,33.940619,-117.9513,0,3,Offer E,Yes,14.6,Yes,Yes,Fiber Optic,71,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,229.55,8.74,0,43.8,264.61,0,Dissatisfaction,Product dissatisfaction
0406-BPDVR,Female,75,Yes,0,Visalia,93277,36.303793,-119.375646,0,54,Offer B,Yes,33.49,Yes,Yes,Fiber Optic,8,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,101.5,5373.1,0,0,1808.46,7181.56,0,Price,Lack of affordable download/upload speed
0407-BDJKB,Male,59,Yes,0,San Francisco,94114,37.758085,-122.434801,1,60,None,Yes,35.22,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.75,5742.9,0,0,2113.2,7856.1,0,Dissatisfaction,Service dissatisfaction
0415-MOSGF,Female,58,No,0,Los Gatos,95030,37.222842,-121.988727,0,1,Offer E,Yes,26.53,No,Yes,DSL,30,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.4,44.4,0,0,26.53,70.93,0,Attitude,Attitude of support person
0420-BWTPW,Male,40,No,0,San Diego,92117,32.825086,-117.199424,0,8,None,No,,,Yes,DSL,16,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,25.5,215.2,0,0,0,215.2,0,Attitude,Attitude of support person
0426-TIRNE,Female,54,No,0,Encino,91316,34.150354,-118.518292,0,1,Offer E,Yes,15.51,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.9,20.9,0,0,15.51,36.41,0,Dissatisfaction,Limited range of services
0431-APWVY,Female,37,Yes,0,Novato,94949,38.067204,-122.524004,1,28,None,Yes,18.31,No,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,90.1,2598.95,0,0,512.68,3111.63,0,Dissatisfaction,Poor expertise of online support
0447-BEMNG,Female,28,Yes,0,Wrightwood,92397,34.358321,-117.618263,3,48,None,No,,,Yes,Cable,58,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,45.3,2145,0,140,0,2285,0,Price,Price too high
0461-CVKMU,Female,45,Yes,0,Oak Run,96069,40.689243,-122.037023,0,23,None,Yes,38.81,No,Yes,Fiber Optic,28,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,83.8,1900.25,0,0,892.63,2792.88,0,Attitude,Attitude of support person
0471-LVHGK,Male,34,Yes,0,Orangevale,95662,38.689174,-121.218435,1,41,None,Yes,15.91,Yes,Yes,DSL,29,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,73,3001.2,0,0,652.31,3653.51,0,Competitor,Competitor offered higher download speeds
0475-RIJEP,Male,47,No,0,Pinecrest,95364,38.224869,-119.755729,0,43,Offer B,Yes,49.13,Yes,Yes,Fiber Optic,25,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.85,3365.85,0,0,2112.59,5478.44,0,Price,Lack of affordable download/upload speed
0486-HECZI,Male,37,Yes,1,Torrance,90504,33.867257,-118.330794,0,55,None,Yes,49.06,Yes,Yes,Fiber Optic,27,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.75,5238.9,0,0,2698.3,7937.2,0,Price,Long distance charges
0488-GSLFR,Female,41,No,0,Taylorsville,95983,40.053684,-120.743116,0,1,None,Yes,8.31,No,Yes,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.5,69.5,0,0,8.31,77.81,0,Dissatisfaction,Product dissatisfaction
0495-RVCBF,Female,39,No,0,Santa Rosa,95401,38.460517,-122.790335,0,1,None,Yes,33.88,No,Yes,Fiber Optic,26,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.7,79.7,0,0,33.88,113.58,0,Dissatisfaction,Poor expertise of online support
0495-ZBNGW,Male,78,Yes,0,Loma Mar,94021,37.266388,-122.26308,1,5,None,Yes,6.66,Yes,Yes,Fiber Optic,14,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,-1,343.95,0,20,33.3,397.25,0,Competitor,Competitor offered more data
0504-HHAPI,Female,72,No,0,Guinda,95637,38.830739,-122.196202,0,27,None,Yes,16.94,Yes,Yes,Fiber Optic,11,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,88.3,2467.75,0,0,457.38,2925.13,0,Other,Don't know
